Reference,Account Number,Description,Start Balance,Mutation,End Balance
138293,NL46ABNA0625805417,Subscription for Rik Dekker,32.53,+22.27,54.8
112806,NL90ABNA0585647886,Tickets for Rik Bakker,102.8,+0.08,102.88
151857,NL32RABO0195610843,Flowers for Jan Theuﬂ,72.38,-10.55,61.83
173418,NL56RABO0149876948,Flowers from Jan de Vries,79.41,+11.88,91.29
112806,NL27SNSB0917829871,Flowers from Jan King,106.89,-39.73,67.16
112806,NL93ABNA0585619023,Flowers from Rik Theuﬂ,88.77,+5.14,93.91
122437,NL46ABNA0625805417,Clothes from Erik Bakker,25.89,+30.81,56.7
181576,NL43AEGO0773393871,Subscription from Jan Theuﬂ,42.16,+28.83,70.99
138537,NL46ABNA0625805417,Candy for Richard de Vries,39.21,-25.34,13.87
149456,NL90ABNA0585647886,Candy for DaniÎl Theuﬂ,11.02,-27.58,-16.56
